Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
2,8.70,8.70,4,8.90,8.90,3,8.79,8.79,1,8.62,8.62,7,9.02,9.02,5,8.96,8.96,6,8.99,8.99
2,10.92,19.62,5,11.13,20.03,4,11.15,19.94,3,11.21,19.83,7,11.32,20.34,6,11.09,20.05,1,10.50,19.49
2,10.47,30.09,6,10.30,30.33,5,10.32,30.26,3,10.34,30.17,4,9.84,30.18,7,10.32,30.37,1,10.51,30.00
4,10.04,40.13,2,9.69,40.02,7,10.31,40.57,5,10.11,40.28,1,9.79,39.97,6,10.05,40.42,3,10.03,40.03
4,10.05,50.18,1,9.90,49.92,6,9.86,50.43,5,10.04,50.32,2,10.02,49.99,7,10.02,50.44,3,10.00,50.03
4,9.76,59.94,2,9.73,59.65,6,9.74,1:00.17,5,9.74,1:00.06,3,9.79,59.78,7,9.80,1:00.24,1,9.53,59.56
4,9.76,1:09.70,2,9.79,1:09.44,6,9.64,1:09.81,5,9.73,1:09.79,3,9.80,1:09.58,7,9.73,1:09.97,1,9.82,1:09.38
4,9.51,1:19.21,1,9.45,1:18.89,7,9.88,1:19.69,5,9.62,1:19.41,2,9.40,1:18.98,6,9.59,1:19.56,3,9.61,1:18.99
4,9.65,1:28.86,1,9.60,1:28.49,7,9.56,1:29.25,5,9.56,1:28.97,2,9.65,1:28.63,6,9.57,1:29.13,3,9.75,1:28.74
4,9.68,1:38.54,1,9.69,1:38.18,7,9.73,1:38.98,5,9.71,1:38.68,2,9.67,1:38.30,6,9.72,1:38.85,3,9.64,1:38.38
5,9.68,1:48.22,1,9.63,1:47.81,7,9.81,1:48.79,4,9.40,1:48.08,2,9.55,1:47.85,6,9.63,1:48.48,3,9.61,1:47.99
5,9.64,1:57.86,2,9.74,1:57.55,7,10.16,1:58.95,3,9.54,1:57.62,1,9.40,1:57.25,6,9.39,1:57.87,4,9.64,1:57.63
6,9.74,2:07.60,4,9.78,2:07.33,7,10.78,2:09.73,2,9.45,2:07.07,1,9.55,2:06.80,3,9.25,2:07.12,5,9.92,2:07.55
3,9.66,2:17.258,2,9.90,2:17.229,6,11.70,2:21.421,1,9.68,2:16.741,5,14.13,2:20.927,0,,PEN,4,10.39,2:17.934
