Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Grant HESTER POSITION,Grant HESTER LAP TIME,Grant HESTER ELAPSED TIME
1,7.13,7.13,2,7.20,7.20,3,7.25,7.25,4,7.65,7.65
2,9.27,16.40,1,9.01,16.21,3,9.26,16.51,4,9.38,17.03
2,8.78,25.18,1,8.82,25.03,3,8.76,25.27,4,9.14,26.17
2,8.98,34.16,1,9.06,34.09,3,9.01,34.28,4,9.33,35.50
1,8.93,43.090,2,9.09,43.171,3,8.92,43.191,4,9.44,44.938
