Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
1,12.58,12.58,2,12.71,12.71,4,12.93,12.93,3,12.81,12.81
1,10.20,22.78,3,10.17,22.88,4,10.09,23.02,2,10.06,22.87
1,9.90,32.68,3,9.88,32.76,4,9.84,32.86,2,9.88,32.75
1,9.60,42.28,3,9.66,42.42,4,9.70,42.56,2,9.61,42.36
1,9.40,51.68,4,9.56,51.98,3,9.34,51.90,2,9.44,51.80
1,9.45,1:01.13,4,9.47,1:01.45,3,9.42,1:01.32,2,9.43,1:01.23
2,9.39,1:10.52,4,9.45,1:10.90,3,9.34,1:10.66,1,9.18,1:10.41
2,9.24,1:19.76,4,9.74,1:20.64,3,9.25,1:19.91,1,9.21,1:19.62
2,9.37,1:29.129,4,10.23,1:30.870,3,9.35,1:29.253,1,9.38,1:28.997
