JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,6.89,6.89,3,7.00,7.00,1,6.83,6.83,4,7.13,7.13,5,7.30,7.30
2,8.78,15.67,3,8.84,15.84,1,8.70,15.53,5,9.05,16.18,4,8.73,16.03
2,8.12,23.79,3,8.27,24.11,1,8.24,23.77,5,8.35,24.53,4,8.21,24.24
1,8.26,32.05,3,8.41,32.52,2,8.39,32.16,5,8.40,32.93,4,8.47,32.71
1,8.53,40.58,3,8.55,41.07,2,8.54,40.70,5,8.54,41.47,4,8.57,41.28
