Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME
1,12.23,12.23,4,13.25,13.25,2,13.00,13.00,3,13.11,13.11
1,9.75,21.98,4,9.61,22.86,2,9.62,22.62,3,9.68,22.79
1,9.63,31.61,4,9.63,32.49,2,9.65,32.27,3,9.56,32.35
1,9.96,41.57,4,9.67,42.16,2,9.70,41.97,3,9.72,42.07
1,9.84,51.41,4,9.81,51.97,2,9.61,51.58,3,9.88,51.95
2,9.44,1:00.85,3,9.23,1:01.20,1,9.12,1:00.70,4,10.23,1:02.18
2,9.31,1:10.16,3,9.08,1:10.28,1,9.12,1:09.82,4,10.48,1:12.66
2,9.35,1:19.51,3,9.32,1:19.60,1,9.21,1:19.03,4,10.78,1:23.44
3,9.65,1:29.153,2,9.33,1:28.922,1,9.43,1:28.459,4,11.25,1:34.685
