Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,14.51,14.51,0,,,2,14.54,14.54
2,12.07,26.58,1,0.00,26.49,3,12.04,26.59
2,11.99,38.58,1,12.03,38.53,3,12.05,38.64
3,10.76,49.34,2,10.72,49.26,1,10.59,49.24
2,10.24,59.59,1,10.27,59.54,3,10.49,59.73
2,10.27,1:09.86,1,10.23,1:09.77,3,10.20,1:09.93
2,10.15,1:20.01,1,10.12,1:19.90,3,10.11,1:20.05
3,10.26,1:30.28,1,10.18,1:30.08,2,10.15,1:30.20
2,10.03,1:40.309,1,10.15,1:40.224,3,10.21,1:40.409
