HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
1,12.96,12.96,2,13.04,13.04,3,13.12,13.12,4,13.24,13.24,5,13.38,13.38
2,9.83,22.79,1,9.65,22.69,3,9.83,22.95,4,9.82,23.06,5,9.86,23.24
2,9.46,32.25,1,9.44,32.13,3,9.40,32.35,4,9.46,32.52,5,9.30,32.54
2,9.45,41.70,1,9.44,41.57,3,9.46,41.81,4,9.42,41.94,5,9.51,42.05
1,9.10,50.80,2,9.33,50.90,3,9.16,50.97,4,9.17,51.11,5,9.16,51.21
1,9.12,59.92,2,9.12,1:00.02,3,9.13,1:00.10,4,9.11,1:00.22,5,9.13,1:00.34
1,9.13,1:09.05,2,9.14,1:09.16,3,9.16,1:09.26,5,9.30,1:09.52,4,9.07,1:09.41
1,8.96,1:18.01,2,8.94,1:18.10,3,8.93,1:18.19,5,9.25,1:18.77,4,8.89,1:18.30
1,8.95,1:26.96,2,8.94,1:27.04,3,8.96,1:27.15,5,9.48,1:28.25,4,9.05,1:27.35
