Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
3,13.62,13.62,2,13.51,13.51,1,13.35,13.35,4,13.72,13.72
3,10.80,24.42,2,10.80,24.31,1,10.83,24.18,4,10.79,24.51
3,10.37,34.79,2,10.37,34.68,1,10.39,34.57,4,10.38,34.89
3,9.84,44.63,2,9.88,44.56,1,9.91,44.48,4,9.90,44.79
3,9.30,53.93,2,9.26,53.82,1,9.23,53.71,4,9.60,54.39
2,9.19,1:03.12,3,9.32,1:03.14,1,9.34,1:03.05,4,9.73,1:04.12
2,9.37,1:12.49,3,9.62,1:12.76,1,9.30,1:12.35,4,9.88,1:14.00
2,9.51,1:22.00,3,9.58,1:22.34,1,9.46,1:21.81,4,10.19,1:24.19
2,9.75,1:31.745,3,9.69,1:32.027,1,9.55,1:31.351,4,10.43,1:34.613
