Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,9.02,9.02,2,9.14,9.14,4,9.55,9.55,5,9.73,9.73,3,9.30,9.30
1,13.83,22.85,2,13.81,22.95,3,13.42,22.97,5,13.50,23.23,4,13.75,23.05
4,11.86,34.71,3,11.67,34.62,2,11.62,34.59,5,11.61,34.84,1,11.46,34.51
4,11.06,45.77,1,10.82,45.44,3,11.14,45.73,5,11.13,45.97,2,10.98,45.49
4,10.93,56.70,1,10.86,56.30,3,10.81,56.54,5,10.80,56.77,2,10.84,56.33
4,10.06,1:06.76,2,10.00,1:06.30,3,9.97,1:06.51,5,10.28,1:07.05,1,9.80,1:06.13
4,9.53,1:16.29,2,9.68,1:15.98,3,9.57,1:16.08,5,9.53,1:16.58,1,9.75,1:15.88
4,9.73,1:26.02,1,9.84,1:25.82,3,9.83,1:25.91,5,9.54,1:26.12,2,9.97,1:25.85
3,9.33,1:35.35,1,9.37,1:35.19,2,9.33,1:35.24,5,9.39,1:35.51,4,9.65,1:35.50
4,9.41,1:44.76,2,9.48,1:44.67,1,9.34,1:44.58,3,9.17,1:44.68,5,9.64,1:45.14
4,9.71,1:54.47,3,9.71,1:54.38,2,9.62,1:54.20,1,9.23,1:53.91,5,9.97,1:55.11
4,9.56,2:04.03,3,9.55,2:03.93,2,9.56,2:03.76,1,9.29,2:03.20,5,10.14,2:05.25
4,9.79,2:13.82,3,9.68,2:13.61,2,9.69,2:13.45,1,9.77,2:12.97,5,11.22,2:16.47
4,10.50,2:24.311,3,9.89,2:23.501,2,9.96,2:23.402,1,10.31,2:23.279,5,12.34,2:28.801
