PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
1,8.56,8.56,4,8.84,8.84,2,8.67,8.67,3,8.75,8.75,6,9.17,9.17,5,9.01,9.01
1,13.37,21.93,4,13.45,22.29,2,13.39,22.06,3,13.40,22.15,6,13.43,22.60,5,13.41,22.42
1,12.87,34.80,5,12.95,35.24,3,12.91,34.97,4,12.92,35.07,6,12.83,35.43,2,12.45,34.87
2,11.51,46.31,5,11.40,46.64,4,11.48,46.45,3,11.37,46.44,6,11.35,46.78,1,11.35,46.22
1,11.03,57.34,5,11.21,57.85,4,11.27,57.72,3,11.16,57.60,6,11.19,57.97,2,11.25,57.47
2,10.86,1:08.20,5,10.70,1:08.55,4,10.71,1:08.43,3,10.74,1:08.34,6,10.69,1:08.66,1,10.63,1:08.10
3,10.40,1:18.60,5,10.33,1:18.88,1,10.09,1:18.52,4,10.40,1:18.74,6,10.34,1:19.00,2,10.47,1:18.57
3,9.78,1:28.38,5,9.78,1:28.66,2,9.84,1:28.36,4,9.83,1:28.57,6,9.80,1:28.80,1,9.79,1:28.36
2,9.63,1:38.01,5,9.80,1:38.46,3,9.81,1:38.17,4,9.71,1:38.28,6,9.80,1:38.60,1,9.56,1:37.92
2,10.03,1:48.04,4,9.75,1:48.21,3,10.01,1:48.18,5,10.00,1:48.28,6,9.79,1:48.39,1,10.11,1:48.03
1,9.97,1:58.01,3,9.97,1:58.18,2,9.91,1:58.09,4,9.93,1:58.21,5,9.95,1:58.34,6,10.70,1:58.73
1,10.03,2:08.04,3,10.04,2:08.22,2,10.08,2:08.17,4,10.25,2:08.46,5,10.14,2:08.48,6,9.91,2:08.64
1,10.05,2:18.09,2,10.04,2:18.26,3,10.09,2:18.26,6,10.80,2:19.26,4,10.08,2:18.56,5,10.15,2:18.79
1,10.17,2:28.255,2,10.03,2:28.289,3,10.24,2:28.500,5,10.92,2:30.178,4,9.98,2:28.532,0,,PEN
