Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
2,9.910,9.910,4,10.360,10.360,3,10.350,10.350,1,9.590,9.590,5,10.680,10.680
2,13.130,23.050,3,12.690,23.060,4,12.870,23.230,1,13.270,22.860,5,12.730,23.420
2,12.830,35.880,3,13.010,36.070,4,12.880,36.120,1,12.790,35.660,5,12.920,36.350
2,12.440,48.320,3,12.430,48.500,4,12.500,48.620,1,12.560,48.230,5,12.350,48.710
2,12.300,1:00.630,4,12.720,1:01.220,3,12.360,1:00.990,1,12.350,1:00.580,4,12.510,1:01.220
2,12.220,1:12.850,4,11.740,1:12.960,3,11.950,1:12.950,1,12.040,1:12.630,5,12.020,1:13.250
2,10.340,1:23.200,3,10.430,1:23.400,4,10.510,1:23.460,1,10.490,1:23.120,5,10.320,1:23.570
1,9.950,1:33.160,3,10.000,1:33.400,4,10.040,1:33.510,2,10.200,1:33.320,5,10.130,1:33.710
1,10.200,1:43.360,3,10.180,1:43.580,4,10.150,1:43.670,2,10.140,1:43.460,5,10.140,1:43.860
1,10.330,1:53.690,2,10.210,1:53.790,3,10.320,1:54.000,4,10.580,1:54.050,5,10.390,1:54.250
1,10.400,2:04.100,2,10.430,2:04.230,3,10.310,2:04.310,4,10.340,2:04.390,5,10.430,2:04.690
1,10.440,2:14.540,2,10.330,2:14.570,3,10.530,2:14.840,4,10.520,2:14.920,5,10.420,2:15.110
1,10.780,2:25.330,2,10.990,2:25.560,3,10.770,2:25.610,4,10.770,2:25.690,5,10.700,2:25.820
1,10.900,2:36.230,3,10.980,2:36.540,2,10.820,2:36.440,4,10.930,2:36.620,5,10.960,2:36.780
