Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Victor MARTINEZ-BLANCH POSITION,Victor MARTINEZ-BLANCH LAP TIME,Victor MARTINEZ-BLANCH ELAPSED TIME
4,8.94,8.94,3,8.88,8.88,6,9.11,9.11,2,8.77,8.77,5,9.09,9.09,1,8.74,8.74
4,11.39,20.33,1,11.02,19.90,6,11.53,20.64,5,11.71,20.48,2,10.94,20.03,3,11.59,20.33
3,9.70,30.03,1,9.87,29.77,6,9.77,30.41,4,9.69,30.17,2,9.84,29.87,5,10.07,30.40
3,9.81,39.84,1,9.81,39.58,5,9.70,40.11,4,9.80,39.97,2,9.80,39.67,6,9.96,40.36
3,9.74,49.58,1,9.81,49.39,5,9.64,49.75,4,9.69,49.66,2,9.78,49.45,6,9.87,50.23
3,9.98,59.56,1,9.94,59.33,5,10.03,59.78,4,10.01,59.67,2,9.98,59.43,6,10.01,1:00.24
3,10.06,1:09.62,1,10.06,1:09.39,5,10.04,1:09.82,4,10.06,1:09.73,2,10.08,1:09.51,6,10.26,1:10.50
2,9.89,1:19.51,1,9.99,1:19.38,5,10.03,1:19.85,4,9.98,1:19.71,3,10.20,1:19.71,6,10.53,1:21.03
2,9.91,1:29.42,1,9.91,1:29.29,4,9.77,1:29.62,3,9.81,1:29.52,5,10.21,1:29.92,6,10.88,1:31.91
2,9.93,1:39.35,1,9.94,1:39.23,4,9.92,1:39.54,3,9.91,1:39.43,5,10.44,1:40.36,6,11.15,1:43.06
1,9.69,1:49.04,2,9.82,1:49.05,4,9.85,1:49.39,3,9.83,1:49.26,5,10.92,1:51.28,6,11.59,1:54.65
1,9.44,1:58.48,2,9.53,1:58.58,4,9.60,1:58.99,3,9.43,1:58.69,5,11.43,2:02.71,6,11.90,2:06.55
1,9.49,2:07.97,2,9.50,2:08.08,4,9.93,2:08.92,3,9.47,2:08.16,5,11.86,2:14.57,6,12.31,2:18.86
1,9.68,2:17.644,3,9.81,2:17.884,4,10.67,2:19.587,2,9.51,2:17.668,5,12.45,2:27.018,6,12.12,2:30.972
