Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
3,14.95,14.95,1,14.73,14.73,2,14.78,14.78,5,15.11,15.11,4,15.10,15.10
4,11.00,25.95,2,11.12,25.85,1,10.97,25.75,3,10.82,25.93,5,10.93,26.03
5,9.93,35.88,3,9.75,35.60,2,9.74,35.49,1,9.46,35.39,4,9.70,35.73
5,9.35,45.23,3,9.35,44.95,2,9.36,44.85,1,9.34,44.73,4,9.40,45.13
5,9.13,54.36,3,9.04,53.99,2,9.04,53.89,1,9.06,53.79,4,8.92,54.05
5,9.24,1:03.60,4,9.35,1:03.34,2,8.94,1:02.83,1,8.94,1:02.73,3,8.98,1:03.03
5,9.42,1:13.02,4,8.98,1:12.32,2,8.90,1:11.73,1,8.84,1:11.57,3,8.86,1:11.89
5,9.76,1:22.78,4,9.08,1:21.40,2,9.03,1:20.76,1,9.03,1:20.60,3,8.95,1:20.84
5,10.04,1:32.82,4,9.67,1:31.07,2,9.17,1:29.93,1,9.23,1:29.83,3,9.26,1:30.10
