Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME
1,6.48,6.48,4,7.12,7.12,2,6.87,6.87,3,7.09,7.09
1,9.02,15.50,3,8.79,15.91,2,8.89,15.76,4,9.06,16.15
1,8.56,24.06,2,8.43,24.34,3,8.69,24.45,4,8.66,24.81
1,8.63,32.69,2,8.49,32.83,3,8.57,33.02,4,8.89,33.70
2,9.25,41.935,1,8.79,41.618,3,9.05,42.068,4,9.31,43.009
