NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
4,7.54,7.54,2,7.13,7.13,1,7.01,7.01,3,7.39,7.39
4,9.28,16.82,2,9.07,16.20,1,9.09,16.10,3,9.39,16.78
3,9.04,25.86,1,8.38,24.58,2,8.65,24.75,4,9.09,25.87
4,9.50,35.36,1,8.59,33.17,2,8.65,33.40,3,9.42,35.29
3,9.91,45.271,1,8.76,41.93,2,8.92,42.32,4,10.05,45.342
