HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,KRUEGER John-Henry POSITION,KRUEGER John-Henry LAP TIME,KRUEGER John-Henry ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,10.90,10.90,5,11.76,11.76,4,11.59,11.59,3,11.42,11.42,2,11.05,11.05,6,11.97,11.97
1,16.29,27.19,5,16.09,27.85,4,16.06,27.65,3,16.06,27.48,2,16.26,27.31,6,16.08,28.05
1,15.30,42.49,5,15.20,43.05,4,15.27,42.92,3,15.31,42.79,2,15.31,42.62,6,15.20,43.25
1,15.20,57.69,3,14.78,57.83,6,15.20,58.12,5,15.20,57.99,2,15.18,57.80,4,14.71,57.96
4,12.82,1:10.51,2,12.50,1:10.33,6,12.66,1:10.78,5,12.67,1:10.66,1,12.50,1:10.30,3,12.47,1:10.43
2,11.16,1:21.67,3,11.46,1:21.79,6,11.10,1:21.88,4,11.14,1:21.80,1,11.24,1:21.54,5,11.44,1:21.87
2,10.29,1:31.96,5,10.38,1:32.17,4,10.21,1:32.09,3,10.27,1:32.07,1,10.32,1:31.86,6,10.46,1:32.33
2,9.66,1:41.62,5,9.73,1:41.90,4,9.72,1:41.81,3,9.63,1:41.70,1,9.67,1:41.53,6,9.65,1:41.98
2,9.59,1:51.21,4,9.48,1:51.38,5,9.64,1:51.45,2,9.51,1:51.21,1,9.58,1:51.11,6,9.62,1:51.60
3,9.50,2:00.71,4,9.49,2:00.87,5,9.52,2:00.97,1,9.42,2:00.63,1,9.52,2:00.63,6,9.45,2:01.05
1,8.96,2:09.67,3,9.06,2:09.93,4,9.05,2:10.02,2,9.13,2:09.76,5,9.44,2:10.07,6,9.08,2:10.13
2,8.99,2:18.66,3,8.85,2:18.78,4,8.89,2:18.91,1,8.80,2:18.56,6,9.22,2:19.29,5,8.93,2:19.06
2,8.87,2:27.53,3,8.95,2:27.73,4,8.89,2:27.80,1,8.86,2:27.42,6,9.15,2:28.44,5,8.83,2:27.89
2,8.82,2:36.352,4,9.11,2:36.846,3,8.89,2:36.690,0,8.92,2:36.34,6,9.48,2:37.926,5,9.02,2:36.912
