Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Agnieszka OLECHNICKA POSITION,Agnieszka OLECHNICKA LAP TIME,Agnieszka OLECHNICKA ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
2,14.08,14.08,4,14.30,14.30,3,14.12,14.12,1,14.02,14.02
3,10.97,25.05,4,10.79,25.09,2,10.89,25.01,1,10.95,24.97
3,10.67,35.72,4,10.73,35.82,1,10.54,35.55,2,10.68,35.65
3,10.92,46.64,4,10.89,46.71,1,10.94,46.49,2,10.94,46.59
2,10.74,57.38,4,10.96,57.67,3,10.97,57.46,1,10.69,57.28
2,10.65,1:08.03,4,10.71,1:08.38,3,10.69,1:08.15,1,10.66,1:07.94
2,10.63,1:18.66,4,10.81,1:19.19,3,10.67,1:18.82,1,10.66,1:18.60
1,10.40,1:29.06,4,11.36,1:30.55,3,10.77,1:29.59,2,10.84,1:29.44
1,10.51,1:39.564,4,11.96,1:42.508,3,10.93,1:40.519,2,10.63,1:40.064
