Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME
3,13.28,13.28,1,13.17,13.17,2,13.18,13.18,4,13.39,13.39
3,10.08,23.36,2,10.10,23.27,1,10.00,23.18,4,10.09,23.48
3,9.93,33.29,2,9.94,33.21,1,9.94,33.12,4,9.96,33.44
1,9.66,42.95,2,9.74,42.95,3,9.91,43.03,4,9.70,43.14
1,9.69,52.64,2,9.80,52.75,3,9.89,52.92,4,9.86,53.00
1,9.99,1:02.63,2,9.98,1:02.73,3,9.96,1:02.88,4,9.92,1:02.92
1,10.09,1:12.72,2,10.04,1:12.77,3,10.13,1:13.01,4,10.44,1:13.36
1,10.15,1:22.87,2,10.18,1:22.95,3,10.39,1:23.40,4,10.42,1:23.78
1,10.29,1:33.151,2,10.28,1:33.227,3,10.84,1:34.239,4,10.78,1:34.560
