Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
2,8.990,8.990,6,9.250,9.250,5,9.140,9.140,1,8.910,8.910,3,9.100,9.100,4,9.120,9.120
1,12.530,21.520,6,12.820,22.070,5,12.870,22.010,3,12.700,21.610,4,12.600,21.710,2,12.420,21.540
2,12.890,34.410,6,12.780,34.860,5,12.800,34.820,3,12.840,34.460,4,12.780,34.490,1,12.770,34.320
1,11.700,46.110,5,11.650,46.510,6,11.790,46.610,2,11.690,46.150,3,11.770,46.260,4,12.160,46.490
3,11.650,57.770,6,11.690,58.200,5,11.570,58.180,2,11.570,57.730,4,11.670,57.930,1,11.150,57.640
3,11.330,1:09.110,6,11.280,1:09.480,5,11.180,1:09.370,2,11.260,1:09.000,4,11.280,1:09.220,1,11.280,1:08.930
3,9.990,1:19.100,6,10.020,1:19.510,5,10.020,1:19.400,2,9.810,1:18.810,4,9.980,1:19.210,1,9.860,1:18.800
3,9.990,1:29.100,5,9.870,1:29.380,6,9.980,1:29.390,2,10.190,1:29.000,4,10.070,1:29.280,1,10.160,1:28.960
0,,,5,10.150,1:39.530,3,9.920,1:39.310,1,9.960,1:38.970,4,10.150,1:39.430,2,10.090,1:39.060
4,0.000,1:49.180,6,10.130,1:49.670,3,9.750,1:49.060,1,9.690,1:48.670,5,9.850,1:49.280,2,9.650,1:48.720
4,9.420,1:58.610,6,10.340,2:00.010,3,9.530,1:58.590,2,9.440,1:58.110,5,10.230,1:59.520,1,9.350,1:58.070
3,9.670,2:08.280,6,10.490,2:10.500,4,10.320,2:08.920,2,9.470,2:07.590,5,10.410,2:09.930,1,9.500,2:07.570
3,10.000,2:18.280,6,11.000,2:21.500,4,10.530,2:19.460,1,9.450,2:17.040,5,10.660,2:20.590,2,9.710,2:17.290
3,11.000,2:29.280,6,11.320,2:32.830,4,11.240,2:30.710,1,10.040,2:27.090,5,11.050,2:31.650,2,9.850,2:27.140
