HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,12.88,12.88,1,12.78,12.78,3,12.98,12.98,4,13.10,13.10,5,13.28,13.28
3,10.22,23.10,1,10.26,23.04,2,10.09,23.07,5,10.22,23.32,4,9.86,23.14
2,8.97,32.07,3,9.15,32.19,1,8.92,31.99,5,9.07,32.39,4,9.15,32.29
2,9.41,41.48,1,9.16,41.35,3,9.54,41.53,5,9.36,41.75,4,9.35,41.64
2,9.34,50.82,1,9.45,50.80,5,9.55,51.08,4,9.29,51.04,3,9.31,50.95
1,9.13,59.95,5,9.56,1:00.36,4,9.20,1:00.28,3,9.12,1:00.16,2,9.11,1:00.06
1,9.26,1:09.21,5,9.35,1:09.71,4,9.23,1:09.51,3,9.24,1:09.40,2,9.24,1:09.30
1,9.05,1:18.26,5,9.11,1:18.82,4,8.94,1:18.45,3,9.03,1:18.43,2,9.05,1:18.35
1,9.19,1:27.444,4,9.54,1:28.352,5,10.35,1:28.798,3,9.32,1:27.743,2,9.24,1:27.585
