ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,14.24,14.24,1,14.07,14.07,4,14.37,14.37,2,14.11,14.11,5,14.50,14.50
3,10.13,24.37,2,10.23,24.30,4,10.12,24.49,1,10.07,24.18,5,10.12,24.62
3,10.24,34.61,1,10.12,34.42,4,10.21,34.70,2,10.32,34.50,5,10.21,34.83
5,10.12,44.73,2,10.06,44.48,1,9.77,44.47,3,10.11,44.61,4,9.86,44.69
5,9.82,54.55,2,9.70,54.18,1,9.51,53.98,3,9.67,54.28,4,9.74,54.43
5,9.68,1:04.23,2,9.65,1:03.83,1,9.68,1:03.66,3,9.64,1:03.92,4,9.60,1:04.03
5,9.82,1:14.05,2,9.67,1:13.50,1,9.66,1:13.32,3,9.68,1:13.60,4,9.68,1:13.71
5,10.14,1:24.19,2,9.65,1:23.15,1,9.68,1:23.00,3,9.64,1:23.24,4,9.65,1:23.36
5,10.46,1:34.65,2,9.79,1:32.94,1,9.74,1:32.74,3,9.76,1:33.00,4,9.83,1:33.19
