Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
1,13.58,13.58,2,13.69,13.69,4,14.46,14.46,3,14.44,14.44
1,11.07,24.65,3,11.13,24.82,4,10.51,24.97,2,10.37,24.81
1,10.61,35.26,2,10.46,35.28,3,10.50,35.47,4,10.81,35.62
1,10.75,46.01,2,10.87,46.15,3,10.73,46.20,4,10.63,46.25
4,31.54,1:17.55,2,10.55,56.70,1,10.40,56.60,3,10.60,56.85
4,21.79,1:39.34,2,10.27,1:06.97,1,10.32,1:06.92,3,10.33,1:07.18
4,15.12,1:54.46,2,10.28,1:17.25,1,10.24,1:17.16,3,10.36,1:17.54
4,13.28,2:07.74,2,10.13,1:27.38,1,10.17,1:27.33,3,10.49,1:28.03
0,,DQ,1,9.97,1:37.350,2,10.21,1:37.537,3,10.79,1:38.813
