Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME
4,9.29,9.29,5,9.44,9.44,2,9.05,9.05,6,9.59,9.59,1,8.92,8.92,3,9.18,9.18
4,13.78,23.07,5,13.77,23.21,2,13.75,22.80,6,13.76,23.35,1,13.72,22.64,3,13.76,22.94
4,13.97,37.04,6,14.19,37.40,2,13.91,36.71,5,13.89,37.24,1,13.92,36.56,3,13.89,36.83
4,13.19,50.23,6,13.10,50.50,1,13.09,49.80,5,13.13,50.37,2,13.25,49.81,3,13.16,49.99
4,11.71,1:01.94,6,11.72,1:02.22,1,11.67,1:01.47,5,11.73,1:02.10,2,11.67,1:01.48,3,11.60,1:01.59
4,10.98,1:12.92,6,10.90,1:13.12,2,11.22,1:12.69,5,10.93,1:13.03,1,11.05,1:12.53,3,11.17,1:12.76
5,10.80,1:23.72,3,10.32,1:23.44,1,10.60,1:23.29,6,10.81,1:23.84,2,10.86,1:23.39,4,10.76,1:23.52
5,9.92,1:33.64,1,9.82,1:33.26,2,10.06,1:33.35,6,9.93,1:33.77,3,10.03,1:33.42,4,10.01,1:33.53
5,10.01,1:43.65,2,9.99,1:43.25,1,9.86,1:43.21,6,9.97,1:43.74,3,9.95,1:43.37,4,9.98,1:43.51
5,9.61,1:53.26,1,9.61,1:52.86,2,9.77,1:52.98,6,9.64,1:53.38,3,9.61,1:52.98,4,9.64,1:53.15
3,9.38,2:02.64,1,9.40,2:02.26,6,10.10,2:03.08,4,9.50,2:02.88,2,9.58,2:02.56,5,9.80,2:02.95
2,9.28,2:11.92,1,9.51,2:11.77,6,9.67,2:12.75,3,9.12,2:12.00,4,9.69,2:12.25,5,9.50,2:12.45
1,9.11,2:21.03,2,9.47,2:21.24,6,9.56,2:22.31,3,9.24,2:21.24,4,9.64,2:21.89,5,9.50,2:21.95
1,9.36,2:30.387,3,9.64,2:30.879,0,,PEN,2,9.33,2:30.564,4,10.00,2:31.889,5,9.99,2:31.940
