MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,KIM Kum Hyang POSITION,KIM Kum Hyang LAP TIME,KIM Kum Hyang ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
1,14.78,14.78,2,14.84,14.84,5,15.15,15.15,3,14.99,14.99,4,15.04,15.04
1,11.05,25.83,2,11.17,26.01,5,11.18,26.33,3,11.10,26.09,4,11.17,26.21
1,10.65,36.48,2,10.60,36.61,5,10.50,36.83,4,10.62,36.71,3,10.41,36.62
1,9.80,46.28,3,9.97,46.58,4,9.84,46.67,5,10.00,46.71,2,9.87,46.49
1,9.52,55.80,3,9.61,56.19,4,9.54,56.21,5,9.77,56.48,2,9.48,55.97
1,9.49,1:05.29,4,9.75,1:05.94,3,9.25,1:05.46,5,9.55,1:06.03,2,9.34,1:05.31
2,9.59,1:14.88,5,9.90,1:15.84,3,9.51,1:14.97,4,9.69,1:15.72,1,9.29,1:14.60
3,10.26,1:25.14,5,10.31,1:26.15,2,9.72,1:24.69,4,9.89,1:25.61,1,9.44,1:24.04
4,10.95,1:36.09,5,10.83,1:36.98,2,9.78,1:34.47,3,9.92,1:35.53,1,10.10,1:34.14
