Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Moritz KREUSELER POSITION,Moritz KREUSELER LAP TIME,Moritz KREUSELER ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,Jan POSAVEC POSITION,Jan POSAVEC LAP TIME,Jan POSAVEC ELAPSED TIME
4,14.35,14.35,5,14.48,14.48,2,13.96,13.96,3,14.09,14.09,1,13.56,13.56
4,9.80,24.15,5,9.78,24.26,2,9.88,23.84,3,9.92,24.01,1,10.00,23.56
4,9.69,33.84,5,9.69,33.95,2,9.71,33.55,3,9.68,33.69,1,9.85,33.41
4,10.06,43.90,5,10.00,43.95,1,10.18,43.73,2,10.10,43.79,3,10.43,43.84
4,10.70,54.60,3,10.50,54.45,1,10.45,54.18,2,10.54,54.33,5,10.95,54.79
4,9.92,1:04.52,2,9.83,1:04.28,1,10.00,1:04.18,3,10.10,1:04.43,5,10.41,1:05.20
4,9.86,1:14.38,1,9.55,1:13.83,2,9.73,1:13.91,3,9.92,1:14.35,5,10.95,1:16.15
3,9.37,1:23.75,1,9.24,1:23.07,2,9.54,1:23.45,4,10.06,1:24.41,5,11.57,1:27.72
3,9.46,1:33.196,1,9.34,1:32.409,2,9.62,1:33.060,4,10.46,1:34.861,5,12.26,1:39.941
