Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME
1,6.83,6.83,3,7.33,7.33,2,7.07,7.07,4,7.49,7.49
1,9.17,16.00,3,9.10,16.43,2,9.14,16.21,4,9.15,16.64
1,8.86,24.86,3,8.66,25.09,2,8.75,24.96,4,8.67,25.31
3,9.01,33.87,2,8.74,33.83,1,8.78,33.74,4,8.84,34.15
3,9.23,43.082,1,8.99,42.804,2,9.16,42.889,4,9.07,43.214
