Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME
1,9.891,9.891,6,10.524,10.524,5,10.285,10.285,2,10.045,10.045,4,10.209,10.209,3,10.124,10.124
1,13.407,23.298,6,13.307,23.831,4,13.220,23.504,2,13.360,23.405,3,13.275,23.483,5,13.443,23.566
2,11.581,34.879,6,11.612,35.442,1,11.265,34.769,4,11.747,35.151,5,11.921,35.404,3,11.581,35.146
1,11.161,46.039,6,11.113,46.554,2,11.321,46.089,3,11.036,46.186,5,11.138,46.542,4,11.157,46.302
1,10.540,56.579,6,10.421,56.975,2,10.593,56.682,3,10.599,56.784,5,10.346,56.887,4,10.506,56.808
1,10.684,1:07.263,6,10.824,1:07.798,2,10.736,1:07.418,4,10.768,1:07.552,5,10.904,1:07.791,3,10.706,1:07.514
1,10.594,1:17.856,6,10.610,1:18.408,2,10.627,1:18.044,4,10.664,1:18.216,5,10.478,1:18.268,3,10.624,1:18.138
1,10.629,1:28.485,6,10.581,1:28.988,3,10.606,1:28.650,2,10.307,1:28.523,5,10.526,1:28.794,4,10.595,1:28.733
1,10.241,1:38.726,5,10.093,1:39.080,2,10.148,1:38.798,4,10.481,1:39.003,6,10.312,1:39.105,3,10.169,1:38.901
1,9.727,1:48.452,5,9.970,1:49.050,2,9.919,1:48.716,6,10.074,1:49.077,4,9.682,1:48.786,3,9.848,1:48.749
2,10.183,1:58.635,5,9.901,1:58.950,1,9.861,1:58.576,6,9.896,1:58.973,4,10.086,1:58.872,3,9.933,1:58.681
6,10.489,2:09.123,3,9.838,2:08.788,2,10.154,2:08.729,5,10.053,2:09.025,4,10.007,2:08.878,1,10.033,2:08.714
4,10.039,2:19.162,2,10.195,2:18.982,6,22.311,2:31.040,5,10.204,2:19.228,3,10.222,2:19.100,1,9.560,2:18.274
4,10.45,2:29.606,3,10.29,2:29.268,6,20.35,2:51.385,5,11.05,2:30.272,2,9.87,2:28.964,1,10.31,2:28.577
