Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,7.41,7.41,3,7.61,7.61,1,7.18,7.18,4,7.85,7.85
2,9.55,16.96,3,9.68,17.29,1,9.76,16.94,4,9.61,17.46
1,9.08,26.04,3,9.31,26.60,2,9.60,26.54,4,9.39,26.85
1,9.34,35.38,3,9.71,36.31,2,9.66,36.20,4,9.52,36.37
1,9.68,45.052,3,9.70,46.005,2,9.64,45.839,4,9.78,46.146
