Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
4,8.84,8.84,2,8.60,8.60,3,8.71,8.71,5,9.06,9.06,1,8.45,8.45
4,13.06,21.90,2,13.04,21.64,3,13.06,21.77,5,13.07,22.13,1,13.04,21.49
4,12.29,34.19,3,12.46,34.10,1,12.12,33.89,5,12.23,34.36,2,12.44,33.93
4,12.28,46.47,3,12.28,46.38,1,12.26,46.15,5,12.27,46.63,2,12.32,46.25
4,12.68,59.15,3,12.64,59.02,1,12.60,58.75,5,12.68,59.31,2,12.61,58.86
4,12.21,1:11.36,3,12.21,1:11.23,2,12.33,1:11.08,5,12.17,1:11.48,1,12.11,1:10.97
4,11.91,1:23.27,3,11.92,1:23.15,2,11.91,1:22.99,5,11.91,1:23.39,1,11.91,1:22.88
5,11.28,1:34.55,3,11.26,1:34.41,2,11.25,1:34.24,4,11.07,1:34.46,1,11.20,1:34.08
5,9.82,1:44.37,4,9.79,1:44.20,3,9.78,1:44.02,1,9.21,1:43.67,2,9.74,1:43.82
5,9.36,1:53.73,4,9.20,1:53.40,3,9.22,1:53.24,1,9.27,1:52.94,2,9.24,1:53.06
5,9.45,2:03.18,4,9.19,2:02.59,3,9.17,2:02.41,1,9.13,2:02.07,2,9.12,2:02.18
5,9.91,2:13.09,4,9.29,2:11.88,3,9.28,2:11.69,1,9.12,2:11.19,2,9.16,2:11.34
5,10.52,2:23.61,4,9.52,2:21.40,3,9.50,2:21.19,1,9.21,2:20.40,2,9.24,2:20.58
5,10.91,2:34.517,4,9.90,2:31.301,3,9.88,2:31.063,1,9.39,2:29.786,2,9.51,2:30.081
