Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Takashi YOSHIDA POSITION,Takashi YOSHIDA LAP TIME,Takashi YOSHIDA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,7.11,7.11,1,6.92,6.92,3,7.34,7.34,4,7.45,7.45
2,9.37,16.48,1,9.34,16.27,3,9.26,16.60,4,9.31,16.77
1,8.88,25.37,2,9.11,25.38,3,8.93,25.54,4,8.83,25.60
1,9.12,34.49,4,36.06,1:01.45,3,18.60,44.14,2,9.95,35.55
1,9.57,44.055,3,14.05,1:15.493,2,0.21,44.343,0,,DQ
