PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
1,7.43,7.43,2,7.57,7.57,4,13.67,13.67,3,7.83,7.83
1,9.63,17.06,2,9.64,17.21,4,15.48,29.15,3,9.61,17.44
1,9.18,26.24,2,9.15,26.36,4,10.45,39.60,3,9.18,26.62
1,9.22,35.46,2,9.27,35.63,4,10.16,49.76,3,9.34,35.96
1,9.38,44.833,2,9.40,45.021,0,,PEN,3,9.73,45.688
