SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Maria OBORINA POSITION,Maria OBORINA LAP TIME,Maria OBORINA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Katsiarina SKLIARENKA POSITION,Katsiarina SKLIARENKA LAP TIME,Katsiarina SKLIARENKA ELAPSED TIME
3,12.54,12.54,5,12.83,12.83,4,12.69,12.69,2,12.49,12.49,1,12.38,12.38
2,17.03,29.57,5,17.26,30.09,3,17.04,29.73,4,17.43,29.92,1,17.05,29.43
2,14.20,43.77,5,14.06,44.15,3,14.15,43.88,4,14.11,44.03,1,14.20,43.63
2,13.07,56.84,5,13.00,57.15,3,13.07,56.95,4,13.03,57.06,1,13.08,56.71
2,12.39,1:09.23,4,12.23,1:09.38,3,12.38,1:09.33,5,12.39,1:09.45,1,12.38,1:09.09
1,11.47,1:20.70,4,11.53,1:20.91,3,11.46,1:20.79,5,11.58,1:21.03,2,11.69,1:20.78
2,10.97,1:31.67,3,10.84,1:31.75,1,10.84,1:31.63,4,10.80,1:31.83,5,11.10,1:31.88
4,10.60,1:42.27,3,10.41,1:42.16,1,10.44,1:42.07,2,10.32,1:42.15,5,10.49,1:42.37
3,9.92,1:52.19,4,10.03,1:52.19,2,9.96,1:52.03,1,9.58,1:51.73,5,10.40,1:52.77
3,9.76,2:01.95,4,9.84,2:02.03,2,9.79,2:01.82,1,9.99,2:01.72,5,10.55,2:03.32
3,10.06,2:12.01,4,10.03,2:12.06,2,10.04,2:11.86,1,10.07,2:11.79,5,11.17,2:14.49
3,9.91,2:21.92,4,10.08,2:22.14,2,9.88,2:21.74,1,9.83,2:21.62,5,12.20,2:26.69
3,10.06,2:31.98,4,10.26,2:32.40,2,10.10,2:31.84,1,10.10,2:31.72,5,12.56,2:39.25
3,10.42,2:42.395,4,10.27,2:42.663,2,10.48,2:42.314,1,10.58,2:42.299,5,12.71,2:51.951
