Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
3,17.22,,1,16.92,16.92,2,17.06,17.06,4,17.37,17.37
2,13.58,,1,13.78,30.70,4,13.78,30.84,3,13.45,30.82
3,10.43,,2,10.44,41.14,4,10.63,41.47,1,10.23,41.05
3,9.96,,1,9.94,51.08,4,9.93,51.40,2,10.12,51.17
2,9.91,,1,9.87,1:00.95,3,10.06,1:01.46,4,10.94,1:02.11
2,9.96,,1,10.00,1:10.95,3,10.19,1:11.65,4,9.80,1:11.91
2,10.02,,1,10.05,1:21.00,4,10.44,1:22.09,3,9.81,1:21.72
2,10.28,,1,10.25,1:31.25,4,11.04,1:33.13,3,9.78,1:31.50
2,10.21,,1,10.21,1:41.46,3,11.67,1:44.802,3,10.17,1:41.67
