REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
1,17.56,17.56,3,18.02,18.02,4,18.18,18.18,2,17.90,17.90
2,11.51,29.07,1,10.95,28.97,4,11.14,29.32,3,11.32,29.22
3,9.96,39.03,1,9.96,38.93,4,9.87,39.19,2,9.76,38.98
3,9.67,48.70,2,9.55,48.48,4,9.62,48.81,1,9.48,48.46
3,9.22,57.92,2,9.34,57.82,4,9.23,58.04,1,9.23,57.69
3,9.13,1:07.05,2,9.13,1:06.95,4,9.09,1:07.13,1,9.18,1:06.87
3,8.99,1:16.04,2,9.06,1:16.01,4,9.04,1:16.17,1,9.06,1:15.93
1,8.80,1:24.84,3,9.17,1:25.18,4,9.12,1:25.29,2,9.24,1:25.17
1,9.26,1:34.10,2,9.20,1:34.38,3,9.37,1:34.640,4,10.18,1:35.332
