Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
3,7.15,7.15,2,7.01,7.01,1,6.84,6.84
3,9.11,16.26,2,9.16,16.17,1,9.22,16.06
2,8.76,25.02,3,9.01,25.18,1,8.75,24.81
2,8.86,33.88,3,8.89,34.07,1,8.90,33.71
2,9.14,43.018,3,9.00,43.063,1,9.26,42.969
