Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
1,14.02,14.02,2,14.14,14.14,3,14.24,14.24,4,14.35,14.35,5,14.48,14.48
1,11.04,25.06,2,10.98,25.12,4,10.92,25.16,3,10.78,25.13,5,10.97,25.45
3,9.97,35.03,4,10.00,35.12,2,9.75,34.91,1,9.66,34.79,5,9.82,35.27
4,9.44,44.47,3,9.34,44.46,2,9.44,44.35,1,9.52,44.31,5,9.60,44.87
4,9.58,54.05,3,9.38,53.84,2,9.39,53.74,1,9.36,53.67,5,9.41,54.28
4,9.21,1:03.26,3,9.19,1:03.03,2,9.18,1:02.92,1,9.16,1:02.83,5,9.51,1:03.79
4,9.08,1:12.34,3,8.94,1:11.97,2,8.93,1:11.85,1,8.92,1:11.75,5,9.91,1:13.70
4,9.26,1:21.60,3,8.92,1:20.89,2,8.92,1:20.77,1,8.95,1:20.70,5,10.28,1:23.98
4,9.82,1:31.411,3,9.24,1:30.128,1,9.09,1:29.857,2,9.23,1:29.928,5,10.65,1:34.625
