Attila PIROS POSITION,Attila PIROS LAP TIME,Attila PIROS ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
1,9.262,9.262,2,9.595,9.595,3,9.795,9.795,6,10.088,10.088,4,9.797,9.797,5,10.053,10.053
1,14.515,23.776,2,14.506,24.100,3,14.463,24.257,5,14.687,24.775,4,14.779,24.575,6,14.801,24.853
1,12.804,36.579,3,12.813,36.913,2,12.638,36.895,6,12.497,37.271,4,12.490,37.065,5,12.398,37.250
1,12.517,49.096,2,12.217,49.130,3,12.617,49.512,5,12.494,49.764,4,12.613,49.678,6,12.619,49.869
1,12.632,1:01.728,2,12.943,1:02.073,3,12.716,1:02.228,6,13.081,1:02.845,4,12.702,1:02.379,5,12.573,1:02.441
2,12.699,1:14.427,1,12.352,1:14.424,3,12.286,1:14.513,5,12.153,1:14.997,4,12.357,1:14.736,6,12.607,1:15.048
3,10.824,1:25.250,2,10.765,1:25.189,1,10.589,1:25.102,6,10.584,1:25.581,4,10.619,1:25.355,5,10.485,1:25.532
2,10.432,1:35.682,3,10.562,1:35.751,1,10.488,1:35.590,6,10.591,1:36.171,5,10.644,1:35.998,4,10.448,1:35.980
1,10.175,1:45.856,3,10.242,1:45.992,2,10.306,1:45.895,6,10.425,1:46.596,4,10.182,1:46.179,5,10.238,1:46.217
2,9.721,1:55.577,1,9.445,1:55.436,4,9.919,1:55.814,6,10.237,1:56.832,3,9.459,1:55.638,5,9.639,1:55.855
2,9.839,2:05.416,1,9.902,2:05.338,5,9.791,2:05.604,6,10.441,2:07.273,3,9.844,2:05.481,4,9.643,2:05.498
5,10.416,2:15.832,2,9.752,2:15.090,4,10.063,2:15.666,6,11.064,2:18.336,3,9.866,2:15.346,1,9.320,2:14.817
4,10.205,2:26.036,2,9.705,2:24.795,5,10.396,2:26.062,6,10.993,2:29.329,3,9.799,2:25.145,1,9.404,2:24.221
5,10.90,2:36.930,2,10.24,2:35.027,4,10.71,2:36.763,6,11.85,2:41.178,3,10.51,2:35.654,1,10.61,2:34.822
