JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Annik PLAMONDON POSITION,Annik PLAMONDON LAP TIME,Annik PLAMONDON ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
7,9.38,9.38,2,9.13,9.13,5,9.35,9.35,1,9.06,9.06,4,9.29,9.29,3,9.18,9.18,6,9.37,9.37
5,12.38,21.77,1,12.11,21.24,3,11.93,21.29,4,12.33,21.39,7,12.61,21.91,2,12.09,21.27,6,12.40,21.78
7,11.22,32.99,3,11.10,32.35,4,11.31,32.61,1,10.64,32.04,2,10.39,32.31,5,11.53,32.80,6,11.16,32.95
7,11.11,44.10,3,11.52,43.87,1,11.08,43.69,2,11.75,43.80,4,11.62,43.94,5,11.13,43.94,6,11.04,44.00
1,10.05,54.16,2,10.32,54.20,3,10.55,54.25,4,10.55,54.36,5,10.46,54.40,6,10.53,54.47,7,10.65,54.66
1,10.16,1:04.32,4,10.27,1:04.47,3,10.15,1:04.40,2,10.00,1:04.36,5,10.24,1:04.65,6,10.19,1:04.66,7,10.04,1:04.70
3,10.25,1:14.58,1,10.05,1:14.53,4,10.23,1:14.64,5,10.28,1:14.64,2,9.91,1:14.56,6,10.21,1:14.88,7,10.24,1:14.94
3,10.23,1:24.81,4,10.30,1:24.83,1,9.71,1:24.35,2,10.13,1:24.78,5,10.32,1:24.89,6,10.09,1:24.98,7,10.17,1:25.12
3,10.45,1:35.26,5,10.46,1:35.30,1,10.63,1:34.99,2,10.34,1:35.12,4,10.39,1:35.28,6,10.46,1:35.44,7,10.47,1:35.60
1,9.90,1:45.17,3,10.02,1:45.32,2,10.20,1:45.19,4,10.28,1:45.41,6,10.29,1:45.58,5,10.12,1:45.56,7,10.18,1:45.78
1,9.64,1:54.82,3,9.79,1:55.12,2,9.63,1:54.82,4,9.82,1:55.23,5,9.72,1:55.30,6,9.90,1:55.47,7,10.04,1:55.83
1,9.68,2:04.50,6,10.35,2:05.47,2,9.70,2:04.52,4,10.05,2:05.29,3,9.56,2:04.86,5,9.86,2:05.33,7,10.96,2:06.80
2,9.93,2:14.44,6,10.70,2:16.17,1,9.86,2:14.39,5,10.22,2:15.51,4,10.49,2:15.36,3,9.81,2:15.15,7,11.44,2:18.24
1,10.08,2:24.514,6,11.75,2:27.918,2,10.31,2:24.700,5,10.62,2:26.122,4,10.64,2:26.000,3,10.15,2:25.292,7,11.96,2:30.191
