Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
2,9.37,9.37,5,9.69,9.69,3,9.52,9.52,6,9.85,9.85,7,10.04,10.04,1,9.26,9.26,4,9.59,9.59
2,11.97,21.34,5,12.07,21.76,4,12.09,21.61,7,12.04,21.89,6,11.81,21.85,1,11.93,21.19,3,11.91,21.50
2,11.37,32.71,7,11.43,33.19,4,11.34,32.95,6,11.29,33.18,5,11.24,33.09,1,11.38,32.57,3,11.35,32.85
2,11.57,44.28,7,11.78,44.97,3,11.44,44.39,6,11.68,44.86,5,11.64,44.73,1,11.61,44.18,4,11.73,44.58
2,11.36,55.64,7,11.34,56.31,3,11.39,55.78,5,11.19,56.05,6,11.44,56.17,1,11.35,55.53,4,11.35,55.93
3,10.75,1:06.39,7,10.60,1:06.91,4,10.72,1:06.50,5,10.56,1:06.61,6,10.59,1:06.76,2,10.74,1:06.27,1,10.33,1:06.26
2,9.62,1:16.01,7,9.61,1:16.52,4,9.68,1:16.18,5,9.71,1:16.32,6,9.65,1:16.41,3,9.85,1:16.12,1,9.67,1:15.93
2,10.15,1:26.16,5,9.96,1:26.48,3,10.08,1:26.26,7,10.46,1:26.78,6,10.15,1:26.56,4,10.22,1:26.34,1,10.16,1:26.09
1,9.50,1:35.66,5,9.70,1:36.18,3,9.68,1:35.94,7,9.58,1:36.36,6,9.72,1:36.28,4,9.71,1:36.05,2,9.70,1:35.79
1,9.29,1:44.95,5,9.27,1:45.45,3,9.21,1:45.15,7,9.34,1:45.70,6,9.18,1:45.46,4,9.30,1:45.35,2,9.25,1:45.04
2,9.12,1:54.07,6,9.22,1:54.67,3,9.08,1:54.23,7,9.18,1:54.88,5,9.01,1:54.47,4,9.02,1:54.37,1,8.93,1:53.97
2,9.09,2:03.16,6,9.11,2:03.78,3,9.15,2:03.38,7,9.22,2:04.10,4,9.07,2:03.54,5,9.34,2:03.71,1,9.06,2:03.03
2,9.12,2:12.28,5,9.32,2:13.10,4,9.62,2:13.00,6,9.36,2:13.46,3,9.43,2:12.97,7,9.76,2:13.47,1,9.15,2:12.18
2,9.42,2:21.70,4,9.78,2:22.88,7,10.78,2:23.78,5,9.58,2:23.04,3,9.38,2:22.35,6,10.02,2:23.49,1,9.34,2:21.52
