Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
1,12.71,12.71,2,13.07,13.07,3,13.19,13.19,4,13.25,13.25
1,9.99,22.70,2,9.98,23.05,3,9.93,23.12,4,9.96,23.21
1,9.58,32.28,2,10.06,33.11,4,10.11,33.23,3,9.99,33.20
1,10.68,42.96,2,10.13,43.24,3,10.07,43.30,4,10.13,43.33
1,9.75,52.71,2,9.81,53.05,3,9.81,53.11,4,9.92,53.25
1,9.30,1:02.01,2,9.70,1:02.75,4,9.91,1:03.02,3,9.67,1:02.92
2,10.51,1:12.52,1,9.76,1:12.51,3,9.89,1:12.91,4,10.06,1:12.98
2,9.87,1:22.39,1,9.88,1:22.39,4,10.00,1:22.91,3,9.56,1:22.54
3,10.31,1:32.692,2,10.23,1:32.618,4,10.17,1:33.072,1,9.89,1:32.428
