Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME
4,14.19,14.19,1,13.89,13.89,2,13.94,13.94,3,14.04,14.04
4,10.45,24.64,2,10.55,24.44,1,10.30,24.24,3,10.49,24.53
4,9.48,34.12,1,9.36,33.80,2,9.58,33.82,3,9.43,33.96
4,9.16,43.28,3,9.30,43.10,1,9.15,42.97,2,9.08,43.04
4,9.05,52.33,3,9.11,52.21,1,9.02,51.99,2,9.08,52.12
4,9.00,1:01.33,2,8.85,1:01.06,1,8.98,1:00.97,3,9.02,1:01.14
4,8.91,1:10.24,2,8.92,1:09.98,1,8.96,1:09.93,3,8.92,1:10.06
4,8.96,1:19.20,1,8.91,1:18.89,2,9.08,1:19.01,3,9.00,1:19.06
0,,PEN,1,9.14,1:28.021,2,9.55,1:28.560,3,9.77,1:28.823
