Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
1,13.14,13.14,4,13.36,13.36,2,13.24,13.24,3,13.31,13.31
1,10.18,23.32,4,10.31,23.67,2,10.18,23.42,3,10.23,23.54
1,9.86,33.18,4,9.83,33.50,2,9.85,33.27,3,9.87,33.41
1,9.45,42.63,3,9.31,42.81,2,9.47,42.74,4,9.44,42.85
2,9.66,52.29,3,9.59,52.40,1,9.45,52.19,4,9.68,52.53
2,9.35,1:01.64,3,9.31,1:01.71,1,9.35,1:01.54,4,9.42,1:01.95
2,9.15,1:10.79,3,9.19,1:10.90,1,9.16,1:10.70,4,9.28,1:11.23
2,9.39,1:20.18,3,9.47,1:20.37,1,9.46,1:20.16,4,9.75,1:20.98
1,9.36,1:29.532,2,9.34,1:29.702,0,,PEN,3,10.11,1:31.082
