Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,Iulia KROMIDO POSITION,Iulia KROMIDO LAP TIME,Iulia KROMIDO ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME
6,10.13,10.13,4,9.77,,5,9.93,9.93,3,9.46,9.46,1,8.62,8.62,2,9.28,9.28
6,10.81,20.94,4,10.87,,5,10.90,20.83,3,10.91,20.37,1,11.37,19.99,2,10.92,20.20
6,10.71,31.65,4,10.73,,5,10.70,31.53,3,10.88,31.25,1,11.03,31.02,2,10.88,31.08
6,11.02,42.67,4,11.03,,5,11.04,42.57,3,11.04,42.29,1,11.05,42.07,2,11.07,42.15
6,11.17,53.84,4,11.25,,5,11.19,53.76,3,11.26,53.55,1,11.27,53.34,2,11.25,53.40
6,11.30,1:05.14,4,11.36,,5,11.35,1:05.11,3,11.35,1:04.90,1,11.36,1:04.70,2,11.38,1:04.78
4,10.38,1:15.52,3,10.40,,6,10.59,1:15.70,2,10.47,1:15.37,5,10.93,1:15.63,1,10.43,1:15.21
3,10.10,1:25.62,4,10.35,,6,10.61,1:26.31,2,10.09,1:25.46,5,10.60,1:26.23,1,10.13,1:25.34
3,10.23,1:35.85,4,10.20,,6,10.77,1:37.08,2,10.26,1:35.72,5,10.81,1:37.04,1,10.28,1:35.62
3,10.45,1:46.30,4,10.45,,5,10.51,1:47.59,2,10.48,1:46.20,6,11.39,1:48.43,1,10.47,1:46.09
3,10.49,1:56.79,4,10.49,,5,10.71,1:58.30,2,10.50,1:56.70,6,11.75,2:00.18,1,10.54,1:56.63
2,10.44,2:07.23,1,10.21,,5,11.12,2:09.42,4,10.62,2:07.32,6,12.17,2:12.35,3,10.65,2:07.28
2,10.38,2:17.61,1,10.40,,5,11.41,2:20.83,3,10.42,2:17.74,6,12.58,2:24.93,4,10.67,2:17.95
5,37.23,2:54.773,6,42.86,,3,11.79,2:32.586,1,10.45,2:28.171,4,12.80,2:37.701,2,10.99,2:28.919
