KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,ARUN Shreya POSITION,ARUN Shreya LAP TIME,ARUN Shreya ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME
2,9.62,9.62,4,9.96,9.96,1,9.46,9.46,3,9.80,9.80,6,10.33,10.33,5,10.18,10.18
2,12.32,21.94,4,12.27,22.23,1,12.32,21.78,3,12.31,22.11,6,12.20,22.53,5,12.24,22.42
2,10.91,32.85,4,10.83,33.06,1,10.95,32.73,3,10.85,32.96,6,10.81,33.34,5,10.81,33.23
2,10.85,43.70,4,10.83,43.89,1,10.85,43.58,3,10.84,43.80,6,10.82,44.16,5,10.83,44.06
2,10.63,54.33,4,10.64,54.53,1,10.66,54.24,3,10.62,54.42,6,10.64,54.80,5,10.65,54.71
1,10.47,1:04.80,4,10.54,1:05.07,2,10.57,1:04.81,3,10.53,1:04.95,6,10.51,1:05.31,5,10.50,1:05.21
1,10.28,1:15.08,4,10.30,1:15.37,2,10.41,1:15.22,3,10.34,1:15.29,6,10.18,1:15.49,4,10.16,1:15.37
1,10.20,1:25.28,6,10.51,1:25.88,2,10.19,1:25.41,3,10.19,1:25.48,5,10.38,1:25.87,4,10.21,1:25.58
1,10.20,1:35.48,6,10.17,1:36.05,3,10.24,1:35.65,2,10.16,1:35.64,5,10.03,1:35.90,4,10.19,1:35.77
1,9.86,1:45.34,6,10.09,1:46.14,5,10.39,1:46.04,2,9.81,1:45.45,4,9.80,1:45.70,3,9.83,1:45.60
1,9.84,1:55.18,5,10.41,1:56.55,6,10.66,1:56.70,2,9.81,1:55.26,4,9.72,1:55.42,3,9.72,1:55.32
2,9.76,2:04.94,5,10.86,2:07.41,6,10.85,2:07.55,3,9.72,2:04.98,4,9.73,2:05.15,1,9.61,2:04.93
3,9.93,2:14.87,5,11.15,2:18.56,6,11.13,2:18.68,2,9.80,2:14.78,4,9.82,2:14.97,1,9.60,2:14.53
0,9.95,2:24.82,5,11.56,2:30.125,6,11.49,2:30.178,2,9.85,2:24.63,4,9.87,2:24.844,1,9.86,2:24.39
