GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,ROES Sven POSITION,ROES Sven LAP TIME,ROES Sven ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME
1,12.24,12.24,2,12.57,12.57,4,13.02,13.02,6,13.37,13.37,5,13.20,,3,12.86,12.86,7,13.54,13.54
1,15.22,27.46,2,15.21,27.78,4,15.16,28.18,6,15.07,28.44,5,15.13,,3,15.20,28.06,7,15.02,28.56
1,14.31,41.77,2,14.29,42.07,4,14.32,42.50,6,14.34,42.78,5,14.28,,3,14.32,42.38,7,14.36,42.92
1,14.26,56.03,2,14.26,56.33,5,14.26,56.76,6,14.13,56.91,4,14.11,,3,14.27,56.65,7,14.10,57.02
1,13.44,1:09.47,2,13.33,1:09.66,6,13.22,1:09.98,5,13.03,1:09.94,3,13.00,,4,13.17,1:09.82,7,13.12,1:10.14
2,12.06,1:21.53,3,12.04,1:21.70,5,12.01,1:21.99,6,12.17,1:22.11,1,11.68,,4,12.03,1:21.85,7,12.12,1:22.26
2,11.42,1:32.95,1,11.15,1:32.85,6,11.35,1:33.34,4,10.95,1:33.06,3,11.57,,5,11.39,1:33.24,7,11.21,1:33.47
1,10.74,1:43.69,3,11.13,1:43.98,6,10.99,1:44.33,4,10.93,1:43.99,2,10.86,,5,11.00,1:44.24,7,10.97,1:44.44
1,10.18,1:53.87,4,10.25,1:54.23,6,10.16,1:54.49,3,10.11,1:54.10,2,10.16,,5,10.13,1:54.37,7,10.15,1:54.59
1,9.41,2:03.28,4,9.42,2:03.65,6,9.40,2:03.89,3,9.36,2:03.46,2,9.38,,5,9.40,2:03.77,7,9.40,2:03.99
3,9.23,2:12.51,4,8.92,2:12.57,6,8.88,2:12.77,1,8.97,2:12.43,2,9.07,,5,8.91,2:12.68,7,8.93,2:12.92
5,9.19,2:21.70,3,8.95,2:21.52,6,9.00,2:21.77,1,8.80,2:21.23,2,8.95,,4,8.97,2:21.65,6,8.85,2:21.77
4,8.76,2:30.46,2,8.62,2:30.14,7,8.88,2:30.65,1,8.77,2:30.00,3,8.77,,5,8.91,2:30.56,6,8.81,2:30.58
0,9.12,2:39.58,2,8.75,2:38.891,4,8.81,2:39.466,1,8.83,2:38.83,3,8.90,,3,8.77,2:39.333,6,9.01,2:39.591
