Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME
2,13.39,13.39,1,13.24,13.24,3,13.54,13.54,4,13.72,13.72
2,10.08,23.47,1,10.19,23.43,3,10.11,23.65,4,10.13,23.85
3,9.71,33.18,2,9.67,33.10,1,9.33,32.98,4,9.71,33.56
3,9.40,42.58,2,9.32,42.42,1,9.41,42.39,4,9.35,42.91
2,9.13,51.71,3,9.31,51.73,1,9.24,51.63,4,9.38,52.29
1,8.93,1:00.64,2,9.10,1:00.83,3,9.22,1:00.85,4,9.86,1:02.15
1,9.16,1:09.80,3,9.12,1:09.95,2,9.03,1:09.88,4,12.44,1:14.59
1,9.17,1:18.97,3,9.21,1:19.16,2,9.22,1:19.10,4,8.19,1:22.78
1,9.49,1:28.453,3,9.51,1:28.664,2,9.51,1:28.607,4,10.98,1:33.752
