THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME
4,15.33,15.33,2,15.11,15.11,3,15.26,15.26,1,15.03,15.03,5,15.39,15.39
2,11.63,26.96,3,12.15,27.26,4,12.12,27.38,1,11.81,26.84,5,12.11,27.50
2,11.60,38.56,3,11.46,38.72,4,11.48,38.86,1,11.56,38.40,5,11.45,38.95
2,11.57,50.13,3,11.61,50.33,4,11.61,50.47,1,11.56,49.96,5,11.61,50.56
1,11.18,1:01.31,3,11.30,1:01.63,5,11.32,1:01.79,2,11.39,1:01.35,4,11.20,1:01.76
1,10.39,1:11.70,3,10.17,1:11.80,4,10.28,1:12.07,2,10.44,1:11.79,5,10.46,1:12.22
3,9.92,1:21.62,1,9.28,1:21.08,4,9.65,1:21.72,2,9.68,1:21.47,5,10.20,1:22.42
3,9.53,1:31.15,1,9.06,1:30.14,4,9.94,1:31.66,2,9.56,1:31.03,5,10.40,1:32.82
3,9.54,1:40.69,1,9.42,1:39.56,4,10.33,1:41.99,2,9.56,1:40.59,5,11.04,1:43.86
