Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
2,13.32,13.32,4,13.58,13.58,1,13.21,13.21,3,13.48,13.48
3,10.93,24.25,1,10.37,23.95,2,10.92,24.13,4,10.92,24.40
1,9.66,33.91,2,10.05,34.00,3,9.98,34.11,4,9.80,34.20
2,10.15,44.06,3,10.16,44.16,1,9.85,43.96,4,10.12,44.32
2,9.70,53.76,3,9.71,53.87,1,9.73,53.69,4,9.69,54.01
1,9.34,1:03.10,3,9.44,1:03.31,2,9.51,1:03.20,4,9.41,1:03.42
2,9.10,1:12.20,4,9.12,1:12.43,1,8.87,1:12.07,3,8.85,1:12.27
3,8.95,1:21.15,4,8.97,1:21.40,2,8.90,1:20.97,1,8.66,1:20.93
3,8.97,1:30.115,4,9.06,1:30.452,1,8.79,1:29.756,2,8.92,1:29.844
