Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,6.84,6.84,2,7.04,7.04,3,7.20,7.20,4,7.47,7.47
1,9.18,16.02,2,9.07,16.11,3,9.07,16.27,4,9.22,16.69
1,8.72,24.74,2,8.67,24.78,3,8.69,24.96,4,9.08,25.77
2,8.95,33.69,1,8.85,33.63,3,8.85,33.81,4,9.32,35.09
2,9.13,42.817,1,9.17,42.796,3,9.28,43.082,4,9.75,44.838
