J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
5,8.69,8.69,3,8.29,8.29,1,8.04,8.04,4,8.43,8.43,2,8.17,8.17
5,12.49,21.18,3,12.51,20.80,1,12.53,20.57,4,12.50,20.93,2,12.53,20.70
5,12.03,33.21,1,11.96,32.76,2,12.20,32.77,4,12.11,33.04,3,12.20,32.90
5,11.11,44.32,2,11.07,43.83,4,11.30,44.07,3,10.89,43.93,1,10.83,43.73
5,10.51,54.83,2,10.66,54.49,3,10.54,54.61,4,10.70,54.63,1,10.67,54.40
5,10.49,1:05.32,1,10.37,1:04.86,3,10.48,1:05.09,4,10.57,1:05.20,2,10.60,1:05.00
5,10.40,1:15.72,1,10.46,1:15.32,2,10.31,1:15.40,4,10.38,1:15.58,3,10.43,1:15.43
5,9.82,1:25.54,1,9.92,1:25.24,3,10.04,1:25.44,4,9.96,1:25.54,2,9.91,1:25.34
2,9.36,1:34.90,1,9.65,1:34.89,4,9.68,1:35.12,5,9.73,1:35.27,3,9.69,1:35.03
1,9.47,1:44.37,2,9.59,1:44.48,4,9.52,1:44.64,5,9.50,1:44.77,3,9.53,1:44.56
1,9.68,1:54.05,2,9.69,1:54.17,4,9.74,1:54.38,5,9.76,1:54.53,3,9.76,1:54.32
1,9.42,2:03.47,2,9.38,2:03.55,4,9.34,2:03.72,5,9.61,2:04.14,3,9.38,2:03.70
1,9.22,2:12.69,2,9.20,2:12.75,3,9.20,2:12.92,5,9.64,2:13.78,4,9.56,2:13.26
1,9.21,2:21.900,2,9.26,2:22.007,3,9.19,2:22.103,5,9.98,2:23.759,4,9.73,2:22.984
