Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,13.440,13.440,4,13.610,13.610,3,13.550,13.550,1,13.380,13.380
1,10.430,23.880,3,10.390,24.010,4,10.610,24.160,2,10.590,23.970
1,9.880,33.760,4,10.140,34.160,2,9.770,33.940,3,9.970,33.940
1,9.990,43.750,4,9.930,44.090,3,9.970,43.920,2,9.920,43.860
2,10.030,53.790,1,9.390,53.480,4,10.020,53.950,3,10.000,53.870
2,10.330,1:04.130,1,10.520,1:04.000,4,10.250,1:04.200,3,10.310,1:04.180
1,9.660,1:13.790,3,10.050,1:14.060,4,10.030,1:14.240,2,9.810,1:13.990
1,10.070,1:23.860,3,10.160,1:24.230,4,10.180,1:24.430,2,10.170,1:24.160
2,10.610,1:34.470,3,10.530,1:34.760,4,10.330,1:34.760,1,10.250,1:34.410
