KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME
1,12.31,12.31,2,12.43,12.43,3,12.55,12.55
1,9.13,21.44,2,9.26,21.69,3,9.28,21.83
1,8.95,30.39,2,8.98,30.67,3,9.18,31.01
1,9.01,39.40,2,9.11,39.78,3,9.38,40.39
1,9.02,48.42,3,14.81,54.59,2,9.75,50.14
1,9.09,57.51,3,10.20,1:04.79,2,9.83,59.97
1,9.10,1:06.61,3,9.62,1:14.41,2,9.36,1:09.33
1,9.06,1:15.67,3,9.96,1:24.37,2,9.60,1:18.93
1,9.07,1:24.74,3,9.85,1:34.22,2,10.01,1:28.94
1,9.42,1:34.16,3,9.50,1:43.72,2,10.09,1:39.03
1,9.25,1:43.41,3,9.22,1:52.94,2,10.12,1:49.15
1,9.24,1:52.65,3,9.28,2:02.22,2,9.89,1:59.04
1,9.22,2:01.87,3,9.62,2:11.84,2,9.40,2:08.44
1,9.12,2:10.99,3,9.62,2:21.46,2,9.61,2:18.05
1,9.11,2:20.10,3,9.59,2:31.05,2,9.60,2:27.65
1,9.22,2:29.32,3,9.33,2:40.38,2,10.22,2:37.87
1,9.27,2:38.59,3,9.30,2:49.68,2,10.21,2:48.08
1,9.46,2:48.05,3,9.40,2:59.08,2,9.93,2:58.01
1,9.43,2:57.48,3,9.73,3:08.81,2,9.55,3:07.56
1,9.25,3:06.73,3,9.77,3:18.58,2,9.54,3:17.10
1,9.11,3:15.84,3,9.77,3:28.35,2,9.49,3:26.59
1,9.45,3:25.29,3,9.38,3:37.73,2,10.00,3:36.59
1,9.57,3:34.86,3,9.50,3:47.23,2,10.27,3:46.86
1,9.59,3:44.45,3,9.56,3:56.79,2,9.73,3:56.59
1,9.52,3:53.97,3,9.79,4:06.58,2,9.67,4:06.26
1,9.42,4:03.39,3,9.63,4:16.21,2,9.54,4:15.80
1,9.08,4:12.47,3,9.71,4:25.907,2,9.50,4:25.30
