SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME
2,6.87,6.87,1,6.84,6.84,3,7.01,7.01
2,9.12,15.99,1,9.03,15.87,3,9.12,16.13
2,8.66,24.65,1,8.75,24.62,3,8.74,24.87
1,8.68,33.33,2,8.86,33.48,3,8.84,33.71
1,8.89,42.215,2,9.07,42.546,3,9.19,42.898
