Zsolt KALAMAR KERTESZ POSITION,Zsolt KALAMAR KERTESZ LAP TIME,Zsolt KALAMAR KERTESZ ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,Marton TAMUS POSITION,Marton TAMUS LAP TIME,Marton TAMUS ELAPSED TIME
6,9.687,9.687,2,9.388,9.388,5,9.616,9.616,4,9.493,9.493,1,9.204,9.204,3,9.438,9.438
5,11.971,21.657,2,12.086,21.473,3,11.869,21.484,4,12.135,21.628,6,12.505,21.709,1,11.936,21.374
6,11.524,33.181,3,11.197,32.669,1,10.942,32.426,5,11.346,32.974,4,11.058,32.766,2,11.069,32.443
6,10.451,43.631,4,10.659,43.328,1,10.605,43.031,5,10.424,43.397,3,10.484,43.250,2,10.700,43.142
6,10.932,54.562,4,11.097,54.424,1,10.961,53.992,5,11.059,54.455,2,10.892,54.142,3,11.102,54.244
6,10.741,1:05.303,4,10.646,1:05.070,1,10.849,1:04.840,3,10.526,1:04.981,2,10.806,1:04.947,5,10.864,1:05.107
6,10.594,1:15.896,1,9.995,1:15.065,5,10.908,1:15.748,4,10.712,1:15.692,2,10.296,1:15.243,3,10.395,1:15.502
6,10.515,1:26.411,1,9.874,1:24.938,5,10.645,1:26.393,3,9.722,1:25.413,2,9.988,1:25.230,4,9.966,1:25.468
5,10.628,1:37.039,1,10.099,1:35.037,6,11.488,1:37.880,3,10.036,1:35.449,2,10.169,1:35.399,4,10.097,1:35.564
5,11.194,1:48.233,1,10.303,1:45.340,6,12.128,1:50.007,3,10.120,1:45.569,2,10.118,1:45.516,4,10.102,1:45.666
5,11.498,1:59.730,1,10.157,1:55.496,6,12.624,2:02.631,2,10.291,1:55.860,3,10.468,1:55.983,4,10.391,1:56.057
5,12.122,2:11.851,2,10.769,2:06.264,6,13.123,2:15.754,1,10.403,2:06.263,3,10.563,2:06.546,4,11.367,2:07.424
5,12.241,2:24.092,1,10.668,2:16.932,6,15.056,2:30.810,2,10.680,2:16.942,3,10.876,2:17.422,4,12.292,2:19.715
5,12.84,2:36.927,2,10.59,2:27.513,6,13.25,2:44.052,1,10.50,2:27.433,3,12.39,2:29.810,4,12.87,2:32.583
