Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME
1,17.018,17.018,4,17.529,17.529,2,17.230,17.230,3,17.291,17.291
2,12.958,29.975,4,12.787,30.315,3,12.811,30.041,1,12.529,29.820
3,12.319,42.294,4,12.141,42.457,2,12.235,42.276,1,12.187,42.007
3,10.707,53.001,4,10.798,53.255,2,10.688,52.964,1,10.850,52.857
3,10.372,1:03.374,4,10.310,1:03.565,1,10.321,1:03.285,2,10.431,1:03.288
3,10.002,1:13.376,4,9.946,1:13.511,1,9.696,1:12.981,2,9.742,1:13.029
4,9.963,1:23.339,3,9.434,1:22.944,1,9.664,1:22.645,2,9.619,1:22.648
4,10.169,1:33.508,1,9.267,1:32.212,2,9.939,1:32.584,3,9.951,1:32.599
4,10.676,1:44.184,1,9.236,1:41.447,3,9.879,1:42.463,2,9.844,1:42.443
