Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME
3,6.980,6.980,1,6.954,6.954,2,6.961,6.961,4,7.071,7.071
2,9.303,16.283,3,9.811,16.765,4,11.266,18.227,1,9.128,16.198
2,8.805,25.088,3,8.360,25.125,4,16.941,35.168,1,8.786,24.984
2,8.694,33.781,3,9.895,35.019,4,25.948,1:01.115,1,8.494,33.477
1,8.65,42.430,3,9.41,44.426,4,28.81,1:29.922,2,9.02,42.496
