Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,12.77,12.77,5,14.10,14.10,2,12.85,12.85,4,13.19,13.19,3,12.96,12.96
1,10.22,22.99,5,11.12,25.22,3,10.26,23.11,4,10.12,23.31,2,10.09,23.05
1,9.50,32.49,5,11.11,36.33,3,9.65,32.76,4,9.59,32.90,2,9.56,32.61
2,9.29,41.78,5,11.44,47.77,3,9.13,41.89,4,9.26,42.16,1,9.09,41.70
2,9.35,51.13,5,12.18,59.95,3,9.26,51.15,4,9.22,51.38,1,9.33,51.03
2,9.27,1:00.40,5,13.39,1:13.34,3,9.46,1:00.61,4,9.40,1:00.78,1,9.31,1:00.34
2,9.31,1:09.71,5,13.07,1:26.41,3,9.26,1:09.87,4,9.51,1:10.29,1,9.25,1:09.59
1,9.13,1:18.84,5,13.64,1:40.05,3,9.31,1:19.18,4,9.88,1:20.17,2,9.28,1:18.87
1,9.29,1:28.124,5,13.86,1:53.907,3,9.75,1:28.927,4,10.34,1:30.508,2,9.40,1:28.266
