Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME
3,13.66,13.66,1,13.49,13.49,2,13.56,13.56,4,13.90,13.90
3,10.32,23.98,1,10.29,23.78,2,10.32,23.88,4,10.44,24.34
3,10.22,34.20,1,10.19,33.97,2,10.22,34.10,4,10.50,34.84
3,10.16,44.36,1,10.19,44.16,2,10.16,44.26,4,10.74,45.58
3,10.19,54.55,1,10.22,54.38,2,10.21,54.47,4,11.14,56.72
3,10.39,1:04.94,1,10.34,1:04.72,2,10.37,1:04.84,4,11.51,1:08.23
2,10.17,1:15.11,3,10.42,1:15.14,1,10.17,1:15.01,4,11.88,1:20.11
2,10.34,1:25.45,3,10.50,1:25.64,1,10.36,1:25.37,4,12.19,1:32.30
2,10.51,1:35.959,3,10.57,1:36.204,1,10.51,1:35.875,4,12.61,1:44.909
