Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,13.665,13.665,1,13.289,13.289,3,13.761,13.761,4,13.850,13.850
3,10.391,24.055,2,10.303,23.592,1,9.485,23.246,4,10.311,24.161
4,9.985,34.040,2,10.005,33.596,1,10.340,33.585,3,9.746,33.907
4,9.429,43.468,1,9.523,43.119,2,9.626,43.211,3,9.540,43.446
3,9.499,52.967,1,9.487,52.605,4,9.801,53.011,2,9.512,52.957
4,9.070,1:02.037,3,9.268,1:01.873,2,8.762,1:01.773,1,8.801,1:01.757
3,9.081,1:11.117,2,9.099,1:10.971,4,9.391,1:11.164,1,9.175,1:10.932
2,9.171,1:20.288,1,9.095,1:20.065,4,9.171,1:20.334,3,9.366,1:20.297
3,9.51,1:29.795,2,9.37,1:29.433,4,10.39,1:30.722,1,9.00,1:29.289
