Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,6.98,6.98,1,6.79,6.79,4,7.13,7.13,3,7.11,7.11
3,8.82,15.80,1,8.81,15.60,4,9.24,16.37,2,8.61,15.72
3,8.44,24.24,2,8.56,24.16,4,8.55,24.92,1,8.33,24.05
3,8.55,32.79,2,8.60,32.76,4,8.61,33.53,1,8.56,32.61
3,9.01,41.800,2,8.80,41.554,4,9.01,42.533,1,8.84,41.450
