HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,12.99,12.99,2,13.05,13.05,3,13.16,13.16,4,13.30,13.30
1,9.75,22.74,2,9.80,22.85,3,9.79,22.95,4,9.79,23.09
1,9.28,32.02,2,9.29,32.14,3,9.30,32.25,4,9.29,32.38
1,9.06,41.08,2,9.02,41.16,3,9.00,41.25,4,9.00,41.38
1,8.92,50.00,2,8.92,50.08,3,8.94,50.19,4,8.95,50.33
2,8.87,58.87,1,8.73,58.81,2,8.68,58.87,4,8.83,59.16
2,9.00,1:07.87,1,8.99,1:07.80,3,9.09,1:07.96,4,9.04,1:08.20
2,9.14,1:17.01,1,9.16,1:16.96,3,9.14,1:17.10,4,9.21,1:17.41
1,9.13,1:26.14,3,9.43,1:26.368,2,9.10,1:26.20,4,9.54,1:26.925
