LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,8.666,8.666,3,8.821,8.821,4,8.859,8.859,2,8.752,8.752,6,9.440,9.440,5,9.029,9.029
3,12.446,21.111,4,12.404,21.224,2,12.158,21.017,1,12.031,20.782,5,11.936,21.376,6,12.799,21.827
4,11.059,32.170,3,10.843,32.067,2,10.984,32.000,1,10.592,31.374,6,11.092,32.467,5,10.358,32.185
3,9.996,42.165,5,10.300,42.366,2,10.132,42.132,1,10.666,42.040,6,9.936,42.403,4,10.163,42.347
1,9.920,52.084,6,10.200,52.566,3,10.048,52.179,2,10.073,52.112,4,9.790,52.193,5,9.988,52.335
2,10.128,1:02.211,3,9.698,1:02.263,6,10.175,1:02.353,1,9.994,1:02.105,4,10.093,1:02.285,5,9.978,1:02.312
1,9.611,1:11.822,5,9.902,1:12.164,2,9.742,1:12.095,6,10.060,1:12.165,4,9.821,1:12.106,3,9.784,1:12.096
1,9.481,1:21.303,6,9.771,1:21.935,3,9.455,1:21.549,2,9.237,1:21.402,4,9.582,1:21.687,5,9.647,1:21.742
2,9.492,1:30.794,4,9.134,1:31.069,3,9.388,1:30.937,1,9.371,1:30.773,5,9.520,1:31.206,6,9.529,1:31.270
1,9.266,1:40.059,4,9.408,1:40.477,3,9.231,1:40.167,2,9.373,1:40.145,5,9.451,1:40.657,6,10.284,1:41.554
1,9.111,1:49.170,5,9.161,1:49.638,2,9.156,1:49.323,3,9.441,1:49.586,4,8.938,1:49.595,6,8.826,1:50.380
5,9.680,1:58.850,4,8.988,1:58.625,2,9.172,1:58.494,3,9.025,1:58.611,1,8.793,1:58.387,6,8.820,1:59.199
4,9.364,2:08.214,2,8.854,2:07.478,3,9.596,2:08.090,6,10.422,2:09.032,1,8.884,2:07.270,5,9.464,2:08.663
3,9.89,2:18.096,2,9.56,2:17.033,4,10.04,2:18.126,5,9.49,2:18.519,1,9.38,2:16.641,6,10.59,2:19.251
