Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
1,13.75,13.75,3,14.08,14.08,4,14.17,14.17,2,13.91,13.91
3,22.04,35.79,4,22.50,36.59,2,9.98,24.15,1,9.80,23.72
4,26.00,1:01.80,3,22.82,59.42,1,9.63,33.79,2,10.18,33.91
4,15.28,1:17.08,3,14.48,1:13.91,1,9.82,43.62,2,9.87,43.78
4,12.67,1:29.76,3,12.68,1:26.59,1,9.91,53.54,2,9.94,53.72
4,11.50,1:41.26,3,11.62,1:38.22,1,10.00,1:03.54,2,9.97,1:03.70
4,11.62,1:52.88,3,3.27,1:41.49,1,9.67,1:13.22,2,9.60,1:13.30
4,10.96,2:03.84,3,7.89,1:49.39,1,9.43,1:22.65,2,9.49,1:22.80
3,10.94,2:14.772,0,,DQ,1,9.66,1:32.309,2,9.78,1:32.572
