Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME
3,10.24,10.24,5,10.44,,1,10.11,10.11,6,10.64,10.64,2,10.16,10.16,4,10.28,10.28,7,10.80,10.80
5,13.43,23.67,2,12.96,,4,13.45,23.56,6,13.23,23.87,1,13.22,23.38,3,13.17,23.45,7,13.16,23.96
5,13.20,36.87,1,13.05,,4,13.19,36.75,6,13.12,36.99,2,13.10,36.48,3,13.20,36.65,7,13.15,37.11
4,12.77,49.64,5,13.21,,2,12.80,49.55,7,13.13,50.12,1,12.90,49.38,2,12.90,49.55,6,12.78,49.89
4,10.86,1:00.50,5,10.90,,1,10.65,1:00.20,7,10.57,1:00.69,2,10.94,1:00.32,3,10.89,1:00.44,6,10.70,1:00.59
6,10.17,1:10.67,3,9.83,,1,9.91,1:10.11,5,9.97,1:10.66,2,9.95,1:10.27,4,10.12,1:10.56,7,10.21,1:10.80
6,9.72,1:20.39,3,9.77,,1,9.84,1:19.95,7,9.91,1:20.57,2,9.81,1:20.08,4,9.70,1:20.26,5,9.55,1:20.35
6,10.03,1:30.42,3,9.94,,1,9.92,1:29.87,7,10.03,1:30.60,2,9.93,1:30.01,4,9.97,1:30.23,5,9.97,1:30.32
6,9.78,1:40.20,3,9.83,,1,9.85,1:39.72,7,9.73,1:40.33,2,9.81,1:39.82,4,9.79,1:40.02,5,9.78,1:40.10
5,9.69,1:49.89,7,31.65,,1,9.65,1:49.37,6,9.68,1:50.01,2,9.69,1:49.51,3,9.76,1:49.78,4,9.71,1:49.81
6,9.76,1:59.65,7,19.78,,1,9.62,1:58.99,5,9.47,1:59.48,1,9.48,1:58.99,3,9.45,1:59.23,4,9.54,1:59.35
4,9.83,2:09.48,7,15.53,,2,9.68,2:08.67,6,26.29,2:25.77,1,9.58,2:08.57,3,9.52,2:08.75,5,22.29,2:21.64
4,10.38,2:19.86,7,14.64,,2,9.78,2:18.45,6,16.73,2:42.50,1,9.78,2:18.35,3,9.75,2:18.50,5,15.83,2:37.47
4,11.08,2:30.915,7,18.72,,0,,PHOTO,6,13.12,2:55.587,1,9.99,2:28.34,3,,2:28.385,5,13.56,2:51.000
